for,clave_de_mapa,numero_historico,proyecto,nombre_analisis,estatus_analisis,gerencia,gerencias_complementaria,responsable_tecnico_y_participantes,tematica_principal_LGAHOTDU,tematicas_secundarias_LGAHOTDU,tipo_analisis,Otros,insumos consultados,Fuente,Tipo de información,estadistica,nota_metodologica,liga_drive,Image id,Ficha,Buscar,color
,I-052,1,POTmet,Aptitud de actividades pecuarias extensivas,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,PRE,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1RUL39rcwJHdmI1M9Ue-sZXZ161QkZZY7,,,,
,I-053,1,POTmet,Aptitud de actividades pecuarias intensivas,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,PRE,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1Xsf_U3vNSHj-YK-NxwU1Z_cPMJbJHhs1,,,,
,I-054,1,POTmet,Aptitud general del sector agropecuario,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,PRE,,Diagnóstico,,,,,,,https://drive.google.com/open?id=16FttYQeT0GUMtPe1Kd6iDWcS01fviCWB,,,,
,I-055,1,POTmet,Acumulación de aptitud del sector agropecuario,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,PRE,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1CmBmIyKej2w3pTX1LmW_cwbgP-EBPN4_,,,,
,I-056,1,POTmet,Aptitud de conservación,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,PRE,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1ZuepuE3mI_2ekGZbwIHFRr-6JMPsG3_U,,,,
,I-057,1,POTmet,Aptitud general del sector vivienda,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,HEM,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1JEuB-Clw2dQIMZqsteHwvxOFqo4Yk4p9,,,,
,I-057,2,POTmet,Aptitud general del sector vivienda año 2019,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,HEM,,Diagnóstico,No se encontro,,,,,,,,,,
,I-058,1,POTmet,Aptitud general del sector industrial,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,DIM,,Diagnóstico,,,,,,,https://drive.google.com/open?id=16hLQAj6fSyoTgEKlE5X8hY4iKfmTYF7c,,,,
,I-059,1,POTmet,Conflicto entre sector vivienda e industria,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1gSomIEPs-G2Q57i2bQ77lTQOkIsI2_h_,,,,
,I-060,1,POTmet,Aptitud de conservación y Áreas Naturales Protegidas,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1Tmq-Q2PYjFFB2Ap8NfVGU2gs9JtVPLPe,,,,
,I-061,1,POTmet,Aptitud de conservación y polígonos de protección en OE y PPDU,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,PRE,,Diagnóstico,,,,,,,https://drive.google.com/file/d/1MpwlgL9fAp3Nz1iN2ZXzmga5mSPBYKI0/view?usp=sharing,,,,
,I-062,1,POTmet,Uso óptimo del territorio,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1hVkjGeuJ9h39cHcax10cRnsv7pYMctQD,,,,
,I-063,1,POTmet,Uso de suelo primario de instrumentos de planeación municipal(macroperspectiva),En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1kjCyvi8sCQDwwAFuaCfVkjuflBg7GIXM,,,,
